Subject,Group,Item,Vot Score,Block,Category,Cond_race,Cond_acce,Extra,Word Duration
164,CBC,baby,0.345459087936,1,3,,,,
164,CBC,back,0.143951673665,1,1,,,,
164,CBC,backpack,0.187356217766,1,1,,,,
164,CBC,bag,0.184028128773,1,1,,,,
164,CBC,ball,0.213011421583,1,3,,,,
164,CBC,banana,0.268659466974,1,3,,,,
164,CBC,basket,0.279523467511,1,3,,,,
164,CBC,battery,0.153787289711,1,1,,,,
164,CBC,bean,0.215165498849,1,1,,,,
164,CBC,bear,0.172768171937,1,3,,,,
164,CBC,beer,0.150189449231,1,1,,,,
164,CBC,belly,0.255137392851,1,1,,,,
164,CBC,bird,0.294320800772,1,3,,,,
164,CBC,bone,0.134511310946,1,1,,,,
164,CBC,bottle,0.290743545472,1,1,,,,
164,CBC,bowl,0.365842050208,1,3,,,,
164,CBC,box,0.0929700018648,1,3,,,,
164,CBC,bubble,0.393744385839,1,1,,,,
164,CBC,bus,0.251366108469,1,1,,,,
164,CBC,cake,0.230224597339,1,2,,,,
164,CBC,camera,0.281895468193,1,4,,,,
164,CBC,can,0.408155946634,1,2,,,,
164,CBC,candy,0.341329935026,1,2,,,,
164,CBC,carpet,0.211080365304,1,2,,,,
164,CBC,carrot,0.216539529305,1,4,,,,
164,CBC,coffee,0.11984278099,1,2,,,,
164,CBC,computer,0.392434379857,1,2,,,,
164,CBC,cup,0.307850252071,1,2,,,,
164,CBC,deer,0.309293965527,1,3,,,,
164,CBC,dinosaur,0.205356652521,1,1,,,,
164,CBC,dog,0.188978968055,1,1,,,,
164,CBC,door,0.282417515578,1,3,,,,
164,CBC,duck,0.295139699776,1,3,,,,
164,CBC,ghost,0.2225896993,1,1,,,,
164,CBC,gum,0.351515630257,1,1,,,,
164,CBC,paint,0.199796258795,1,4,,,,
164,CBC,panda,0.156394602182,1,4,,,,
164,CBC,pants,0.404113926622,1,2,,,,
164,CBC,peach,0.405006097756,1,2,,,,
164,CBC,peanut,0.102100370795,1,4,,,,
164,CBC,pear,0.186022960672,1,4,,,,
164,CBC,pen,0.125707739234,1,2,,,,
164,CBC,pencil,0.228338884145,1,4,,,,
164,CBC,pepper,0.0701317947106,1,4,,,,
164,CBC,piano,0.193343007922,1,2,,,,
164,CBC,pineapple,0.385253958914,1,2,,,,
164,CBC,tail,0.189659667345,1,4,,,,
164,CBC,tofu,0.448795915734,1,2,,,,
164,CBC,tomato,0.203996463029,1,4,,,,
164,CBC,tongue,0.160875719833,1,4,,,,
164,CBC,tooth,0.197392533899,1,4,,,,
164,CBC,turkey,0.312916572296,1,4,,,,
164,CBC,turtle,0.388513228852,1,4,,,,
164,CBC,baby,0.157897229454,2,3,,,,
164,CBC,backpack,0.193034162894,2,1,,,,
164,CBC,bag,0.168920590921,2,1,,,,
164,CBC,ball,0.278196482256,2,3,,,,
164,CBC,banana,0.0539678499231,2,3,,,,
164,CBC,basket,0.156994196899,2,3,,,,
164,CBC,battery,0.192846870925,2,1,,,,
164,CBC,bean,0.299667768111,2,1,,,,
164,CBC,bear,0.193531786941,2,3,,,,
164,CBC,beer,0.154627591235,2,1,,,,
164,CBC,belly,0.205958226083,2,1,,,,
164,CBC,bird,0.0880831358794,2,3,,,,
164,CBC,bone,0.0816729823024,2,1,,,,
164,CBC,bottle,0.285943922519,2,1,,,,
164,CBC,bowl,0.123634900871,2,3,,,,
164,CBC,box,0.212187921554,2,3,,,,
164,CBC,bubble,0.191191696736,2,1,,,,
164,CBC,bus,0.166481812511,2,1,,,,
164,CBC,cake,0.230470277765,2,2,,,,
164,CBC,camera,0.191623890846,2,4,,,,
164,CBC,candy,0.341650398979,2,2,,,,
164,CBC,carpet,0.295388498965,2,2,,,,
164,CBC,carrot,0.287164613993,2,4,,,,
164,CBC,coffee,0.236277154711,2,2,,,,
164,CBC,computer,0.202943640837,2,2,,,,
164,CBC,cup,0.29320328012,2,2,,,,
164,CBC,deer,0.186306128879,2,3,,,,
164,CBC,dinosaur,0.293183785281,2,1,,,,
164,CBC,dog,0.198600616628,2,1,,,,
164,CBC,door,0.188015829368,2,3,,,,
164,CBC,duck,0.0564106444338,2,3,,,,
164,CBC,garden,0.166491724676,2,3,,,,
164,CBC,ghost,0.130234915652,2,1,,,,
164,CBC,gum,0.242937235838,2,1,,,,
164,CBC,paint,0.0842333081555,2,4,,,,
164,CBC,panda,0.402431356698,2,4,,,,
164,CBC,pants,0.223460349878,2,2,,,,
164,CBC,peach,0.293011213316,2,2,,,,
164,CBC,peanut,0.169648299399,2,4,,,,
164,CBC,pear,0.151298960135,2,4,,,,
164,CBC,pen,0.147596226045,2,2,,,,
164,CBC,pencil,0.267008604271,2,4,,,,
164,CBC,pepper,0.331956088936,2,4,,,,
164,CBC,piano,0.317440084639,2,2,,,,
164,CBC,pineapple,0.240687596708,2,2,,,,
164,CBC,tail,0.328131042762,2,4,,,,
164,CBC,tofu,0.23948677033,2,2,,,,
164,CBC,tomato,0.261387859478,2,4,,,,
164,CBC,tongue,0.215508034869,2,4,,,,
164,CBC,tooth,0.0491288053399,2,4,,,,
164,CBC,turkey,0.2020013815,2,4,,,,
164,CBC,turtle,0.271309187571,2,4,,,,
